control_id,framework,framework_version,part_number,part_title,section_number,section_title,subsection,paragraph,legal_reference,legal_requirement,requirement_id,control_title,control_description,plain_language_question,why_this_matters,implementation_guidance,expected_state,response_type,answer_options,required,applicability,applicability_question,role_scope,evidence_required,evidence_examples,evidence_strength,evidence_review_frequency,risk_category,default_risk_level,risk_rationale,remediation_guidance,suggested_task,suggested_task_priority,control_status,version,source_type,regulatory_status,notes
PDPA-014-002,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,14,Registration of data controllers and data processors,14(2),,Section 14(2),A person who intends to collect or process personal data shall apply to the Commission for registration.,REQ-014-2,Registration application submitted before intended processing,"Before starting any new collection or processing that falls outside an existing registration, an application is made to the Commission.","When you plan a new activity involving personal data that your registration does not already cover, do you apply to the Commission first?","The duty attaches to the intention to collect or process, so the application belongs at the planning stage rather than after go-live.","Add a registration check to the intake process for new products, systems and vendors. The Commission decides within a period specified in the regulations under section 14(3).",A documented gate in the change or project process that checks registration coverage before processing begins.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Registration Application | Project Intake Checklist | Change Approval Record,MODERATE,ANNUAL,REGISTRATION,HIGH,DataGuard default risk classification: High. New processing launched outside the scope of an existing registration reintroduces the section 14(1) breach.,Insert a registration coverage check into the project and vendor onboarding gates.,Add a PDPA registration coverage check to the new-processing intake gate,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,REGULATORY_DETAIL_PENDING,Section 14(3) leaves the decision period to the regulations. Section 14(5) requires the Commission to give written reasons for a rejection.
PDPA-014-003,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,14,Registration of data controllers and data processors,14(4),,Section 14(4),The Commission shall issue a certificate of registration to the data controller or data processor who has fulfilled the prescribed requirements and registered under this section.,REQ-014-4,Certificate of registration retained and retrievable,"The certificate of registration issued by the Commission is retained, its expiry date is recorded, and it can be produced on request.","Do you hold your certificate of registration, and can you produce it and state its expiry date?","The certificate is the document that proves registration to the Commission, to customers and to counterparties.","Store the certificate in the evidence repository, record the issue and expiry dates, and set a renewal reminder.",Certificate on file with issue and expiry dates recorded and a renewal reminder set.,DOCUMENT_REQUIRED,,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,REQUIRED_BY_ACT,Certificate of Registration,STRONG,ANNUAL,REGISTRATION,MEDIUM,DataGuard default risk classification: Medium. The certificate itself is issued by the Commission; the risk here is loss of proof and missed renewal rather than unlawful processing.,"Request a copy from the Commission if mislaid, then file it and diarise the expiry.",File the certificate of registration and record its expiry date,MEDIUM,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,
PDPA-015-001,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,15,Register of data controllers and data processors,15(3),,Section 15(3),"A data controller or data processor may, at any time, apply to the Commission to update or change any particulars in the register.",REQ-015-3,Registered particulars kept current,"When registered particulars change - contact details, the nature of processing, the responsible officer - an application to update the register is made.","When the details you gave the Commission at registration change, do you apply to have the register updated?","The register is how the Commission reaches you, including with an investigation or enforcement notice. Stale details can turn a small issue into a missed deadline.",Assign an owner for registration data and review the registered particulars at least annually and on any material change of business.,"An owner is named, and there is a record of the last review of registered particulars.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Register Update Application | Registration Review Record | Commission Correspondence,MODERATE,ANNUAL,REGISTRATION,MEDIUM,DataGuard default risk classification: Medium. Out-of-date particulars impede regulatory contact and undermine the credibility of the registration.,Name an owner and run an annual review of registered particulars.,Assign ownership and review registered particulars annually,MEDIUM,ACTIVE,1.0.0,ACT_DERIVED,REGULATORY_DETAIL_PENDING,"ACT_DERIVED. Section 15(3) is permissive - the Act says the controller or processor may apply to update. DataGuard derives the duty to keep particulars current from section 15(3) read with section 19, which makes furnishing false or misleading information during registration or renewal an offence. It adds no new legal obligation. Section 15(2) leaves the required particulars to the regulations."
PDPA-015-002,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,15,Register of data controllers and data processors,15(2),,Sections 15(2) and 17,"The register shall contain such particulars as may be prescribed in the regulations. Subject to prescribed procedures and payment of prescribed fees, the Commission may permit any person to inspect and extract any entry in the register.",REQ-015-3,Awareness that registered particulars are publicly inspectable,"The organisation understands that entries in the register may be inspected and extracted by any person the Commission permits, and reviews its entries accordingly.","Are you aware that the details recorded about you in the Commission register can be inspected by others, and have you reviewed those details with that in mind?","Anything in the register may end up in front of a competitor, a journalist or a customer. It is worth knowing what is there.","Review the registered particulars for accuracy and for anything you would not want disclosed, and raise any concern with the Commission rather than omitting required information.",Registered particulars have been reviewed on the assumption that they are inspectable.,YES_NO,Yes | No | Not applicable | I do not know,false,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Registration Review Record,WEAK,ANNUAL,REGISTRATION,LOW,"DataGuard default risk classification: Low. Section 17 is a power of the Commission, not an obligation on the organisation. This control exists to prompt awareness, not to test compliance.",Review your register entry once and record that you have done so.,Review the register entry on the basis that it is publicly inspectable,LOW,ACTIVE,1.0.0,INTERPRETATION,REGULATORY_DETAIL_PENDING,"INTERPRETATION. Section 17 addresses the Commission, not the data controller. The particulars in the register are to be prescribed by regulations that are not reproduced in the Act."
PDPA-016-001,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,16,Duration of registration,16(1),,Section 16(1),The period of registration shall be five years from the date of issuance of certificate of registration.,REQ-016-1,Registration expiry tracked,The five year expiry date of the registration is recorded and monitored so that the organisation never processes on a lapsed registration.,"Do you know the date your registration expires, and is that date being tracked?","Registration runs for five years. If it lapses, you are back in breach of the prohibition in section 14(1) without anything else having changed.","Record the certificate issue date, calculate the five year expiry, and set reminders at twelve, six and four months before expiry.",Expiry date recorded with automated reminders configured.,DATE,,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Certificate of Registration | Compliance Calendar,STRONG,ANNUAL,REGISTRATION,HIGH,"DataGuard default risk classification: High. A lapsed registration reinstates the section 14(1) prohibition, and lapse through inattention is a common and entirely avoidable failure.",Record the expiry date in the compliance calendar and configure reminders.,Record the registration expiry date and configure renewal reminders,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,
PDPA-016-002,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,16,Duration of registration,16(2),,Section 16(2),The application for renewal shall be submitted within the period of three months before expiry in the manner prescribed in the regulations.,REQ-016-2,Renewal submitted within the three month window,"The renewal application is submitted within the three month period before the registration expires, in the manner prescribed by the regulations.",Do you submit your renewal application during the three months before your registration expires?,The Act sets a specific window. Applying too late risks a gap in registration; the manner of applying is set by regulations.,"Diarise the start of the three month window, not just the expiry date. Confirm the prescribed manner of renewal against the current regulations before submitting.",Renewal is submitted inside the statutory window with proof of submission retained.,YES_NO,Yes | No | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,REQUIRED_BY_ACT,Renewal Application | Proof of Submission | Compliance Calendar,STRONG,ANNUAL,REGISTRATION,HIGH,DataGuard default risk classification: High. Missing the renewal window can lead to expiry of the registration and a resulting prohibition on processing.,Add the renewal window opening date to the compliance calendar with an owner.,Diarise the opening of the three month registration renewal window,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,REGULATORY_DETAIL_PENDING,The manner of renewal is left to the regulations and is not specified in the Act.
PDPA-018-001,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,18,Deregistration,,,Section 18,The Commission may deregister any registration under this Act as may be prescribed in the regulations.,REQ-018-1,Response to deregistration by the Commission,"The organisation has a defined internal response if the Commission deregisters it, recognising that the section 14(1) prohibition then applies again.",Do you have a plan for what happens to your processing if the Commission deregisters you?,"Deregistration removes the basis on which you may collect or process personal data at all. It needs an escalation path decided in advance, not invented on the day.","Name an executive owner, define the escalation path, and identify which processing would have to stop. The grounds and procedure for deregistration are left to the regulations.",A documented escalation procedure naming an owner and the processing that would be suspended.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,false,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Incident and Escalation Procedure | Business Continuity Plan,MODERATE,ANNUAL,REGISTRATION,MEDIUM,"DataGuard default risk classification: Medium. Deregistration is a low-likelihood but very high-impact event, and the Act gives no notice period on the face of section 18.",Add deregistration to the escalation procedure with a named executive owner.,Define an internal response procedure for deregistration by the Commission,LOW,ACTIVE,1.0.0,INTERPRETATION,REGULATORY_DETAIL_PENDING,INTERPRETATION. Section 18 confers a power on the Commission and imposes no obligation on the organisation. The consequence for the organisation is derived from section 14(1). Grounds and procedure are left to the regulations.
PDPA-019-001,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,19,Offences relating to registration,,,Section 19,"Any person who contravenes the provisions of this Part or furnishes false or misleading information during registration or renewal, commits an offence and upon conviction shall be liable for a penalty specified under section 63.",REQ-019-1,Accuracy of information given at registration and renewal,"Information submitted to the Commission at registration and renewal is verified for accuracy and completeness before submission, and a copy is retained.","Is the information you give the Commission at registration and renewal checked for accuracy before you send it, and do you keep a copy?","Furnishing false or misleading information at registration or renewal is a criminal offence under the Act, not merely an administrative slip.","Require a named reviewer to verify the submission against source records before it is sent, and retain the submitted version alongside the supporting records.",A retained copy of each submission with evidence of pre-submission review by a named person.,YES_NO,Yes | No | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Registration Application | Renewal Application | Pre-submission Review Record,STRONG,ANNUAL,REGISTRATION,HIGH,DataGuard default risk classification: High. This provision carries criminal liability under section 63 and is entirely within the organisation control to avoid.,Introduce a documented review and sign-off step before any submission to the Commission.,Introduce pre-submission review and retention for Commission filings,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,"Section 63 provides a fine of not less than TZS 100,000 and not exceeding TZS 5,000,000, or imprisonment for a term not exceeding five years, or both. This penalty applies to section 19 because section 19 expressly refers to it."
PDPA-020-001,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,20,Appeal relating to registration,,,Section 20,Any person who is aggrieved by the decision of the Commission under this Part may appeal in writing to the Minister.,REQ-020-1,Awareness of the registration appeal route,"The organisation knows that a decision of the Commission under Part III may be appealed in writing to the Minister, and who internally would handle such an appeal.","If the Commission refused or cancelled your registration, do you know that you can appeal in writing to the Minister and who would handle it?",Appeal rights are only useful if somebody knows they exist at the moment the decision lands.,Record the appeal route in the compliance procedure with a named owner. The Act does not state a time limit for this appeal on the face of section 20 - confirm any deadline in the regulations or with counsel.,The appeal route and internal owner are documented in the compliance procedure.,YES_NO,Yes | No | Not applicable | I do not know,false,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Compliance Procedure | Regulatory Escalation Matrix,WEAK,ANNUAL,ENFORCEMENT,LOW,DataGuard default risk classification: Low. This is a right rather than a duty. It is recorded so the organisation does not lose it through unawareness.,Add the section 20 appeal route and its owner to the compliance procedure.,Document the section 20 appeal route to the Minister,LOW,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,OPEN_QUESTION: section 20 does not state a period within which the appeal to the Minister must be lodged. Any internal deadline is INTERPRETATION until confirmed by regulations or advice.
PDPA-021-001,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,21,Registration of public institutions,,,Section 21,"Immediately after commencement of this Act, public institutions which collect and process personal data shall be deemed as registered with the Commission under this Act and shall be required to comply with the provisions of this Act.",REQ-021-1,Public institution deemed registration and full compliance,A public institution that collects and processes personal data recognises that it is deemed registered and that it remains bound by every other provision of the Act.,"If you are a public institution, do you understand that you are treated as already registered but still have to comply with everything else in the Act?","Deemed registration removes the application step. It does not reduce any other obligation, and the assumption that it does is a common misreading.","Record the basis of deemed registration in the compliance file and confirm with the Commission what particulars, if any, it expects the institution to supply.",The deemed registration basis is documented and the institution is assessed against the full control matrix.,YES_NO,Yes | No | Not applicable | I do not know,true,ROLE_SPECIFIC,Is your organisation a public institution?,PUBLIC_INSTITUTION,RECOMMENDED_BY_DATAGUARD,Compliance File Note | Commission Correspondence | Establishing Instrument,MODERATE,ANNUAL,REGISTRATION,MEDIUM,"DataGuard default risk classification: Medium. The registration risk is removed by statute, but the misconception that deemed registration implies broader exemption is a real and material risk.",Document the deemed registration basis and run the full assessment regardless.,Document deemed registration status and complete the full PDPA assessment,MEDIUM,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,"OPEN_QUESTION: the Act does not define public institution for this purpose, nor state what particulars a deemed-registered institution must supply for the register under section 15."
PDPA-022-001,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",22,Collection of personal data,22(1),,Section 22(1)(a)-(c),Part IV applies to any collection and processing performed wholly or partly by manual or automated means; to processing carried out in the performance of activities of a controller domiciled in the United Republic or in a territory where the laws of the United Republic apply by virtue of international public law; and to processing by a controller or processor not domiciled in the United Republic where the processing takes place in the United Republic and is not for mere transit through Tanzania.,REQ-022-1,Part IV scope assessment including manual records and non-domiciled processing,"The organisation has assessed which of its processing falls within section 22(1), expressly including paper and other manual records, and processing carried out in Tanzania by entities domiciled elsewhere.","Have you identified all processing that falls under Part IV, including paper records and any processing you carry out in Tanzania from a business based abroad?","Paper files and offshore group entities are the two things most often left out of a data inventory, and section 22(1) puts both squarely in scope.","Extend the processing inventory to manual filing systems. For non-domiciled entities, determine where the processing physically takes place, and note that mere transit of data through Tanzania is excluded.",A processing inventory that covers automated and manual processing and records the domicile and processing location for each activity.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Data Processing Register | Scoping Statement | Records Inventory,MODERATE,ANNUAL,GOVERNANCE,HIGH,DataGuard default risk classification: High. Processing left outside the scope assessment is processing that nobody is controlling.,Extend the inventory to manual records and confirm the processing location for each non-domiciled entity.,Extend the processing inventory to manual records and non-domiciled processing,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,Section 22(1)(c) expressly excludes processing for the purposes of mere transit of personal data through Tanzania to another country.
